Warm-up Type,Component,Details,Duration/Sets/Reps,Intensity/Notes,,,
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",Lat pull-down,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",T-bar row,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",Cable straight-arm pulldown,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",Machine incline press,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",Dumbbell decline press,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",Low cable fly,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",Crunch,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Monday/Friday (back, chest, abs)",Stability ball side crunch,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,Tuesday/Saturday (lower body),Leg press,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,Tuesday/Saturday (lower body),Dumbbell step-up,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,Tuesday/Saturday (lower body),Single-leg extension,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,Tuesday/Saturday (lower body),Barbell hip thrust,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,Tuesday/Saturday (lower body),Machine kneeling leg curl,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,Tuesday/Saturday (lower body),Toe press,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,Tuesday/Saturday (lower body),Machine single-leg seated calf raise,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Cable upright row,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Dumbbell lateral raise,4,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Cable kneeling bent reverse fly,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Barbell curl,2,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Concentration curl,2,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Dumbbell hammer curl,2,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Machine overhead triceps extension,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 2,"Wednesday/Sunday (shoulders, arms)",Dumbbell lying triceps extension,3,8-10,90-120 sec,"All sets except final RTF 1, Final set RTF 0"
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Chin-up,4,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Machine wide-grip seated row,4,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Dumbbell pullover,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Barbell incline press,4,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Machine chest press,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Dumbbell incline fly,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Cable kneeling rope crunch,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Monday/Friday (back, chest, abs)",Antirotation press,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,Tuesday/Saturday (lower body),Barbell back squat,4,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,Tuesday/Saturday (lower body),Dumbbell lunge,4,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,Tuesday/Saturday (lower body),Leg extension,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,Tuesday/Saturday (lower body),Barbell stiff-leg deadlift,4,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,Tuesday/Saturday (lower body),Machine seated leg curl,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,Tuesday/Saturday (lower body),Machine standing calf raise,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,Tuesday/Saturday (lower body),Machine seated calf raise,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",Military press,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",Machine lateral raise,4,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",Dumbbell seated bent reverse fly,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",Dumbbell incline biceps curl,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",High-pulley cable curl,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",Dumbbell overhead triceps extension,3,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",Cable triceps press-down,2,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 3,"Wednesday/Sunday (shoulders, arms)",Skull crusher,2,6-8,90-120 sec,All sets RTF 0
Peak Physique Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell chest press,2,15-20,2 min,RTF 3
Peak Physique Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell single-arm row,2,15-20,2 min,RTF 3
Peak Physique Phase,WEEK 4,Deload (Monday/Thursday),Military press,2,15-20,2 min,RTF 3
Peak Physique Phase,WEEK 4,Deload (Monday/Thursday),Barbell back squat,2,15-20,2 min,RTF 3
Peak Physique Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell lunge,2,15-20,2 min,RTF 3
Peak Physique Phase,WEEK 4,Deload (Monday/Thursday),Dumbbell stiff-leg deadlift,2,15-20,2 min,RTF 3
